Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Dělnic.str.sociální spravedl.,Blok proti islam.-Obran.domova,Občanská demokratická strana,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Česká str.sociálně demokrat.,Radostné Česko,Řád národa - Vlastenecká unie,Komunistická str.Čech a Moravy,Strana svobodných občanů,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Občanská demokratická aliance,TOP 09,Česká strana národně sociální,Referendum o Evropské unii,SPORTOVCI,Strana zelených,SPR-Republ.str.Čsl. M.Sládka,Dobrá volba 2016,"ROZUMNÍ-stop migraci,diktát.EU",Křesť.demokr.unie-Čs.str.lid.,Unie H.A.V.E.L.,Česká pirátská strana,ANO 2011
529303,Benešov,13 104,8 485,8 437,17,112,"100,00",16,682,5,3,2,624,1 052,802,35,10,6,6,314,3,58,597,3,2 577,109,21,948,11,414
532568,Bernartice,191,148,148,0,0,"100,00",0,20,0,0,0,17,4,6,4,0,0,0,37,0,3,7,0,39,1,0,7,0,3
530743,Bílkovice,170,121,118,0,0,"100,00",0,9,0,0,0,15,7,8,2,0,0,0,6,0,0,18,1,47,0,0,3,0,2
532380,Blažejovice,96,80,77,0,3,"100,00",0,8,0,0,0,5,6,3,0,0,0,0,6,1,0,11,0,29,0,0,5,0,0
532096,Borovnice,73,54,53,0,1,"100,00",0,1,0,0,0,2,2,4,0,0,0,0,5,0,0,4,0,29,1,0,3,0,1
532924,Bukovany,598,393,393,1,6,"100,00",4,30,0,0,0,20,50,53,0,0,0,1,8,0,1,20,0,127,8,4,49,0,11
529451,Bystřice,3 490,2 206,2 200,5,11,"100,00",4,211,0,0,2,187,204,158,12,6,1,1,72,3,9,136,1,826,25,1,223,1,96
532690,Ctiboř,106,83,83,0,1,"100,00",0,5,0,0,0,5,3,4,0,0,0,0,11,0,0,4,0,35,2,0,11,0,2
529478,Čakov,93,71,71,0,2,"100,00",0,10,0,0,0,6,7,8,0,0,0,0,6,0,0,3,0,15,0,0,6,0,8
529486,Čechtice,1 140,750,744,2,15,"100,00",2,44,1,2,1,54,70,50,6,1,0,0,81,1,8,75,0,226,5,3,58,0,35
529516,Čerčany,2 195,1 453,1 443,3,15,"100,00",1,98,1,1,0,97,200,126,11,1,0,1,52,0,12,66,1,424,22,9,191,1,107
529532,Červený Újezd,258,187,187,0,3,"100,00",0,18,0,0,0,5,13,13,2,0,0,0,30,0,4,15,0,53,3,0,23,2,3
529541,Český Šternberk,129,82,82,0,1,"100,00",0,17,0,0,0,3,9,6,0,0,0,0,3,0,0,3,0,25,1,0,6,0,8
529567,Čtyřkoly,539,403,400,0,11,"100,00",0,38,0,1,0,20,72,43,2,0,2,0,11,0,4,15,0,91,1,1,46,0,39
532746,Děkanovice,49,40,40,0,0,"100,00",0,8,0,0,0,2,0,0,0,0,0,0,11,0,0,3,0,13,0,0,3,0,0
529621,Divišov,1 305,830,816,3,14,"100,00",0,79,0,1,0,60,52,86,7,0,2,1,49,0,4,78,0,256,3,2,76,1,39
529648,Dolní Kralovice,727,445,445,2,9,"100,00",0,26,0,0,0,45,24,24,2,0,0,1,30,0,0,66,0,150,8,1,47,0,9
532151,Drahňovice,70,58,57,0,1,"100,00",0,9,0,0,0,1,8,2,0,0,0,0,5,0,1,1,0,18,1,1,6,0,3
532843,Dunice,55,38,38,0,0,"100,00",0,1,0,0,0,6,5,3,0,0,0,0,4,0,0,3,0,10,0,0,5,0,1
529702,Heřmaničky,571,375,374,0,0,"100,00",2,43,1,0,0,22,27,34,3,1,0,1,14,0,5,39,0,143,4,0,25,0,10
